#{"t_start": 1775181829.0756, "env_id": "None"}
r,l,t,success,task_phase
-38.127573,92,4.305313,False,TOUCHDOWN
-2.190265,78,4.314355,False,TOUCHDOWN
-16.383555,70,4.322469,False,TOUCHDOWN
-9.45175,69,4.330501,False,TOUCHDOWN
-20.977397,94,4.341334,False,TOUCHDOWN
-20.197491,77,4.350293,False,TOUCHDOWN
-9.518172,71,4.358521,False,TOUCHDOWN
-2.282072,79,4.367884,False,TOUCHDOWN
-30.948971,86,4.596183,False,TOUCHDOWN
-4.332728,81,4.605685,False,TOUCHDOWN
-8.686356,80,4.614861,False,TOUCHDOWN
-15.247755,68,4.622624,False,TOUCHDOWN
-31.91845,96,4.633554,False,TOUCHDOWN
-15.985261,73,4.641893,False,TOUCHDOWN
-10.981947,71,4.650056,False,TOUCHDOWN
-11.792312,83,4.659496,False,TOUCHDOWN
-22.093906,75,4.668056,False,TOUCHDOWN
5.43116,75,4.676624,False,TOUCHDOWN
3.630244,74,4.685076,False,TOUCHDOWN
-4.763384,77,4.693864,False,TOUCHDOWN
-10.739652,70,4.701861,False,TOUCHDOWN
-21.390476,73,4.710168,False,TOUCHDOWN
-18.199705,99,4.721409,False,TOUCHDOWN
-6.594946,96,4.732274,False,TOUCHDOWN
0.463445,84,4.74185,False,TOUCHDOWN
-0.422423,76,4.750519,False,TOUCHDOWN
-23.701239,101,4.762007,False,TOUCHDOWN
-31.39052,141,4.778047,False,TOUCHDOWN
-24.206005,72,4.786335,False,TOUCHDOWN
4.510005,83,4.795736,False,TOUCHDOWN
-8.412608,87,4.805607,False,TOUCHDOWN
-30.169002,75,4.814133,False,TOUCHDOWN
-22.391284,81,5.042335,False,TOUCHDOWN
-25.591132,74,5.051178,False,TOUCHDOWN
5.002683,81,5.060698,False,TOUCHDOWN
-24.590609,78,5.06992,False,TOUCHDOWN
-19.389696,75,5.078758,False,TOUCHDOWN
-17.187041,88,5.089142,False,TOUCHDOWN
-12.200191,80,5.098605,False,TOUCHDOWN
-4.337097,66,5.106393,False,TOUCHDOWN
-23.870967,83,5.116137,False,TOUCHDOWN
-3.29046,67,5.124015,False,TOUCHDOWN
1.783209,71,5.132289,False,TOUCHDOWN
-16.324603,71,5.140626,False,TOUCHDOWN
-4.515322,68,5.148582,False,TOUCHDOWN
-21.116687,76,5.157484,False,TOUCHDOWN
-0.645413,79,5.166795,False,TOUCHDOWN
0.920343,72,5.175234,False,TOUCHDOWN
-4.179632,65,5.182918,False,TOUCHDOWN
-24.00943,77,5.191975,False,TOUCHDOWN
-17.780056,71,5.200335,False,TOUCHDOWN
-22.925811,84,5.210101,False,TOUCHDOWN
1.018233,66,5.217917,False,TOUCHDOWN
-18.638072,84,5.227736,False,TOUCHDOWN
-21.565998,75,5.236582,False,TOUCHDOWN
-8.864169,78,5.245696,False,TOUCHDOWN
-5.649737,76,5.254608,False,TOUCHDOWN
-23.2705,72,5.263016,False,TOUCHDOWN
-18.458359,66,5.270764,False,TOUCHDOWN
