#{"t_start": 1775181731.586944, "env_id": "None"}
r,l,t,success,task_phase
-23.174045,110,4.503718,False,INITIAL_CLIMB
-15.632977,151,4.521368,False,INITIAL_CLIMB
-40.947924,156,4.539861,False,TAKEOFF_ROLL
-27.312927,58,4.54677,False,TAKEOFF_ROLL
-33.321406,193,4.568617,False,TAKEOFF_ROLL
-27.836535,53,4.57489,False,TAKEOFF_ROLL
-32.253696,171,4.594431,False,ROTATE
-30.41313,158,4.613102,False,INITIAL_CLIMB
-20.747178,115,4.626129,False,TAKEOFF_ROLL
-20.214024,88,4.636133,False,TAKEOFF_ROLL
-29.540661,66,4.643752,False,ROTATE
-26.904027,58,4.867748,False,TAKEOFF_ROLL
-21.296239,74,4.876608,False,INITIAL_CLIMB
-25.291771,161,4.895685,False,TAKEOFF_ROLL
-17.064612,72,4.904256,False,ROTATE
-35.337083,96,4.91538,False,TAKEOFF_ROLL
-29.783591,161,4.934142,False,INITIAL_CLIMB
-32.24463,293,4.96728,False,INITIAL_CLIMB
-21.917862,45,4.972444,False,TAKEOFF_ROLL
-17.422402,126,4.987291,False,INITIAL_CLIMB
-37.773188,103,4.999554,False,TAKEOFF_ROLL
-18.936333,100,5.011162,False,INITIAL_CLIMB
-29.594461,234,5.038168,False,INITIAL_CLIMB
-26.266839,138,5.054505,False,TAKEOFF_ROLL
-27.925649,142,5.070993,False,ROTATE
-21.532,66,5.078784,False,TAKEOFF_ROLL
-25.383362,133,5.093879,False,ROTATE
1.249798,136,5.327884,False,INITIAL_CLIMB
-19.499648,62,5.335077,False,INITIAL_CLIMB
-14.279462,78,5.344053,False,TAKEOFF_ROLL
-10.970739,138,5.359852,False,ROTATE
-15.977584,95,5.370781,False,TAKEOFF_ROLL
-3.847333,228,5.396397,False,INITIAL_CLIMB
-6.494751,76,5.405109,False,INITIAL_CLIMB
-16.824647,95,5.416526,False,TAKEOFF_ROLL
-19.527596,81,5.42635,False,TAKEOFF_ROLL
-18.838266,93,5.437432,False,TAKEOFF_ROLL
-23.931705,89,5.448182,False,TAKEOFF_ROLL
-19.125789,75,5.457024,False,TAKEOFF_ROLL
-18.144398,87,5.467198,False,TAKEOFF_ROLL
-14.168771,68,5.475324,False,TAKEOFF_ROLL
-11.878302,76,5.484316,False,INITIAL_CLIMB
-30.301827,74,5.493222,False,TAKEOFF_ROLL
-18.225668,110,5.506094,False,TAKEOFF_ROLL
-24.002845,69,5.514284,False,TAKEOFF_ROLL
-29.168512,73,5.522854,False,TAKEOFF_ROLL
-11.469933,195,5.545818,False,TAKEOFF_ROLL
0.423149,143,5.782355,False,INITIAL_CLIMB
-23.00766,124,5.797127,False,TAKEOFF_ROLL
-11.967777,53,5.803506,False,TAKEOFF_ROLL
-9.909294,144,5.820597,False,ROTATE
-13.739393,89,5.831124,False,TAKEOFF_ROLL
-20.494133,141,5.847512,False,TAKEOFF_ROLL
-24.409746,154,5.865351,False,ROTATE
-9.974849,81,5.874545,False,INITIAL_CLIMB
-10.686369,74,5.883282,False,TAKEOFF_ROLL
-12.446025,89,5.893961,False,ROTATE
-8.595512,186,5.915369,False,INITIAL_CLIMB
-13.662539,51,5.921366,False,INITIAL_CLIMB
-21.052386,150,5.938249,False,TAKEOFF_ROLL
