#{"t_start": 1775183766.833431, "env_id": "None"}
r,l,t,success,task_phase
-28.791316,60,51.124618,False,TOUCHDOWN
-26.343223,59,51.347618,False,TOUCHDOWN
-28.405822,60,51.565746,False,TOUCHDOWN
-27.743923,60,51.777998,False,TOUCHDOWN
-27.807185,60,52.065811,False,TOUCHDOWN
-28.623543,59,52.292132,False,TOUCHDOWN
-24.090909,59,52.50252,False,TOUCHDOWN
-24.648138,60,52.718986,False,TOUCHDOWN
-27.002775,60,52.938358,False,TOUCHDOWN
-27.552424,60,53.15741,False,TOUCHDOWN
-23.590659,59,53.367642,False,TOUCHDOWN
-23.790866,60,53.581934,False,TOUCHDOWN
-27.836022,60,53.7945,False,TOUCHDOWN
-27.106464,60,54.026074,False,TOUCHDOWN
-28.283964,60,54.235248,False,TOUCHDOWN
-28.952796,60,54.446197,False,TOUCHDOWN
-27.060017,60,54.655798,False,TOUCHDOWN
-27.954206,60,54.864312,False,TOUCHDOWN
-28.55758,60,55.074479,False,TOUCHDOWN
-19.11254,60,55.284626,False,TOUCHDOWN
-28.53247,60,55.505232,False,TOUCHDOWN
-26.375444,60,55.719448,False,TOUCHDOWN
-23.908018,60,55.927364,False,TOUCHDOWN
-27.058244,60,56.136035,False,TOUCHDOWN
-25.693307,60,56.348745,False,TOUCHDOWN
-20.678468,60,56.558003,False,TOUCHDOWN
-7.232383,60,56.766656,False,TOUCHDOWN
-23.477771,60,56.974766,False,TOUCHDOWN
-19.204673,60,57.193088,False,TOUCHDOWN
-25.24683,60,57.403732,False,TOUCHDOWN
-24.4449,60,57.61209,False,TOUCHDOWN
-8.873273,60,57.821614,False,TOUCHDOWN
-23.116799,60,58.030132,False,TOUCHDOWN
-24.206414,61,58.241634,False,TOUCHDOWN
-23.37778,61,58.458483,False,TOUCHDOWN
-12.198055,61,58.732174,False,TOUCHDOWN
-16.553147,61,58.953222,False,TOUCHDOWN
-11.539911,61,59.175556,False,TOUCHDOWN
-10.167982,61,59.405927,False,TOUCHDOWN
-9.261502,62,59.612129,False,TOUCHDOWN
-8.459981,62,59.813753,False,TOUCHDOWN
-11.485545,62,60.013997,False,TOUCHDOWN
-15.925833,62,60.213262,False,TOUCHDOWN
-5.385866,61,60.409009,False,TOUCHDOWN
-6.797444,62,60.610105,False,TOUCHDOWN
-8.937508,62,60.808346,False,TOUCHDOWN
-12.899473,62,61.005039,False,TOUCHDOWN
-15.687156,62,61.201298,False,TOUCHDOWN
-24.475451,61,61.394673,False,TOUCHDOWN
-19.082413,62,61.591817,False,TOUCHDOWN
-27.911698,61,61.785824,False,TOUCHDOWN
-26.600341,62,61.982414,False,TOUCHDOWN
-21.737692,62,62.179811,False,TOUCHDOWN
-23.399397,62,62.375811,False,TOUCHDOWN
-29.811712,62,62.572462,False,TOUCHDOWN
-23.7374,62,62.769025,False,TOUCHDOWN
-25.987966,62,62.965716,False,TOUCHDOWN
-24.846022,62,63.161469,False,TOUCHDOWN
-27.902889,62,63.356862,False,TOUCHDOWN
-27.763562,62,63.552709,False,TOUCHDOWN
-29.775827,62,63.748395,False,TOUCHDOWN
-29.337986,62,63.944142,False,TOUCHDOWN
-29.600096,61,64.136719,False,TOUCHDOWN
-28.428399,62,64.332614,False,TOUCHDOWN
-30.01075,62,64.527963,False,TOUCHDOWN
-30.743499,62,64.724581,False,TOUCHDOWN
-31.141106,62,64.920475,False,TOUCHDOWN
-31.092889,62,65.11645,False,TOUCHDOWN
-30.747841,62,65.31217,False,TOUCHDOWN
-32.097476,62,65.508453,False,TOUCHDOWN
-33.035155,62,65.704257,False,TOUCHDOWN
-31.646284,63,65.903311,False,TOUCHDOWN
-32.304449,63,66.101721,False,TOUCHDOWN
-32.624062,62,66.298133,False,TOUCHDOWN
-31.917388,63,66.497802,False,TOUCHDOWN
-31.846918,64,66.699592,False,TOUCHDOWN
-33.110395,63,66.898591,False,TOUCHDOWN
-33.190165,62,67.094364,False,TOUCHDOWN
-33.404457,63,67.293612,False,TOUCHDOWN
-33.731173,63,67.492724,False,TOUCHDOWN
-33.246385,63,67.690901,False,TOUCHDOWN
-34.048855,64,67.893521,False,TOUCHDOWN
-34.008893,63,68.092577,False,TOUCHDOWN
-34.086906,64,68.294421,False,TOUCHDOWN
-34.612855,65,68.499742,False,TOUCHDOWN
-34.609323,65,68.704995,False,TOUCHDOWN
-34.004155,65,68.910341,False,TOUCHDOWN
-34.890032,66,69.119134,False,TOUCHDOWN
-34.313157,66,69.331115,False,TOUCHDOWN
-34.227752,66,69.584052,False,TOUCHDOWN
-33.276665,66,69.805547,False,TOUCHDOWN
-34.515827,66,70.018582,False,TOUCHDOWN
-33.669362,66,70.234847,False,TOUCHDOWN
-33.908532,66,70.452391,False,TOUCHDOWN
